time,btc_to_usd, btc_to_brl, mbc_rate, mbc_rate/rate, rate, arbitrage, arbitrage, rate, pos, arbitrage*pos, arbitrage/rate*pos, real_value, real_arbitrage, btc_pnl, eth_pnl, btc_pnl+eth_pnl
2017-06-18 11:03:03.750195,2534.800000,8345.830000,9114.990000,2768.410023,3.292500,769.160000,769.160000,3.292500,1.879000,1445.251640,438.952662,4847.238075,94.488075,-237.129800,828.960000,591.830200
2017-06-18 11:04:21.779098,2534.800000,8345.830000,9114.990000,2768.410023,3.292500,769.160000,769.160000,3.292500,1.879000,1445.251640,438.952662,4847.080532,94.330532,-237.129800,828.960000,591.830200
2017-06-18 11:09:24.713926,2533.820000,8342.600000,9120.000000,2769.931663,3.292500,777.400000,777.400000,3.292500,1.879000,1460.734600,443.655156,4847.080527,96.168027,-238.971220,824.960000,585.988780
2017-06-18 11:09:36.571970,2533.820000,8342.600000,9120.000000,2769.931663,3.292500,777.400000,777.400000,3.292500,1.879000,1460.734600,443.655156,4855.277875,104.365375,-238.971220,824.960000,585.988780
2017-06-18 11:09:46.864526,2533.820000,8342.600000,9120.000000,2769.931663,3.292500,777.400000,777.400000,3.292500,1.879000,1460.734600,443.655156,4855.126026,104.213526,-238.971220,824.960000,585.988780
2017-06-18 11:09:57.172633,2533.820000,8342.600000,9120.000000,2769.931663,3.292500,777.400000,777.400000,3.292500,1.879000,1460.734600,443.655156,4854.755113,103.842613,-238.971220,824.960000,585.988780
2017-06-18 11:10:07.505660,2533.820000,8342.600000,9120.000000,2769.931663,3.292500,777.400000,777.400000,3.292500,1.879000,1460.734600,443.655156,4854.755111,103.842611,-238.971220,824.960000,585.988780
2017-06-18 11:10:17.798730,2533.820000,8342.600000,9120.000000,2769.931663,3.292500,777.400000,777.400000,3.292500,1.879000,1460.734600,443.655156,4854.755110,103.842610,-238.971220,824.960000,585.988780
2017-06-18 11:10:28.121281,2533.820000,8342.600000,9120.000000,2769.931663,3.292500,777.400000,777.400000,3.292500,1.879000,1460.734600,443.655156,4855.542739,104.630239,-238.971220,824.960000,585.988780
2017-06-18 11:10:38.416351,2533.820000,8342.600000,9120.000000,2769.931663,3.292500,777.400000,777.400000,3.292500,1.879000,1460.734600,443.655156,4854.755106,103.842606,-238.971220,824.960000,585.988780
